         Date                  Topic     Speaker
8  2018-06-14           arxiv review    Benjamin
9  2018-06-21         classic review      Robert
10 2018-06-28  ord. of mag. estimate    Benjamin
11 2018-07-05           arxiv review       Keven
12 2018-07-12         classic review      Oliver
13 2018-07-19  ord. of mag. estimate   Stephanie
14 2018-07-26           arxiv review     Rachael
15 2018-08-02         classic review      Oliver
16 2018-08-09  ord. of mag. estimate        Adam
17 2018-08-16           arxiv review        Alex
18 2018-08-23         classic review    Benjamin
19 2018-08-30  ord. of mag. estimate       Keven
20 2018-09-06           arxiv review      Oliver
21 2018-09-13         classic review   Stephanie
22 2018-09-20  ord. of mag. estimate     Ruggero
23 2018-09-27           arxiv review        Adam
24 2018-10-04         classic review        Alex
25 2018-10-11  ord. of mag. estimate     Rachael
26 2018-10-18           arxiv review      Robert
